,g_losses,d_losses_real,d_losses_fake
0,-0.31684327125549316,-2.1856024652719497,0.01872732872143388
1,-0.2992163896560669,-5.391902828216553,1.049659013748169
2,-0.26164817810058594,-7.007171535491944,0.7662300288677215
3,-0.19980491697788239,-7.911941051483154,0.6829592645168304
4,-0.5277587175369263,-8.846272087097168,0.8127594947814941
5,-1.1098999977111816,-9.517194366455078,0.9964142322540284
6,-1.3983734846115112,-10.27391014099121,1.2273436903953552
7,-2.0971593856811523,-10.710940551757812,1.3705682277679443
8,-2.5501391887664795,-11.613932991027832,1.8226370573043824
9,-3.2360634803771973,-11.595220565795898,2.1857836961746218
10,-3.358841896057129,-12.395620727539063,2.2081424713134767
11,-4.035804748535156,-12.83455295562744,2.325846815109253
12,-4.095724105834961,-13.1374662399292,2.6546966075897216
13,-4.042985916137695,-12.550815391540528,2.551838445663452
14,-4.046751022338867,-13.339020347595214,2.5405173778533934
15,-3.9641923904418945,-13.65502872467041,2.482941150665283
16,-3.907874345779419,-13.140082931518554,2.3600396156311034
17,-3.9647157192230225,-13.600634956359864,2.1269360542297364
18,-3.7797799110412598,-13.813848686218261,2.1359012126922607
19,-3.669142723083496,-13.80972080230713,1.9904347896575927
20,-3.2852659225463867,-13.7222900390625,1.7748655557632447
21,-3.486424207687378,-13.593860626220703,1.8033975839614869
22,-2.9934234619140625,-13.821699523925782,1.4440967798233033
23,-2.7712550163269043,-13.369298553466797,1.2966310501098632
24,-2.3564882278442383,-13.661431121826173,1.4142752170562745
25,-2.279993772506714,-13.972440719604492,1.0099183678627015
26,-2.1436400413513184,-13.538325881958007,0.7841416239738465
27,-1.7012118101119995,-12.970148849487305,0.6971032738685607
28,-1.5275044441223145,-13.821634674072266,0.3645292207598686
29,-1.0163592100143433,-14.053803825378418,0.35938881412148477
30,-0.49853992462158203,-13.83745231628418,0.06171666830778122
31,-0.31866562366485596,-13.734288024902344,0.12375873923301697
32,-0.24914896488189697,-13.79950408935547,-0.21784398853778839
33,-0.2645476460456848,-13.853581619262695,-1.0443357974290848
34,-0.11477108299732208,-13.477763748168945,-1.3345729172229768
35,0.3273273706436157,-13.303303718566895,-1.013338303565979
36,0.43085333704948425,-13.77924041748047,-1.6136362314224244
37,0.3813343644142151,-13.702087593078613,-1.9998205184936524
38,0.6431517601013184,-13.830415725708008,-1.8192838191986085
39,0.7012882828712463,-13.901586151123047,-2.3758261442184447
40,1.023522973060608,-13.873717498779296,-2.746535634994507
41,1.8647502660751343,-13.789735984802245,-2.6339323997497557
42,2.3084540367126465,-13.401832389831544,-2.9161359786987306
43,3.2351627349853516,-13.681954956054687,-2.8158919334411623
44,3.945147752761841,-14.55645809173584,-3.510438585281372
45,5.2641987800598145,-14.301103019714356,-3.2377113819122316
